frameIndex;frameTime;pcm_fftMag_mfcc[1];pcm_fftMag_mfcc[2];pcm_fftMag_mfcc[3];pcm_fftMag_mfcc[4];pcm_fftMag_mfcc[5];pcm_fftMag_mfcc[6];pcm_fftMag_mfcc[7];pcm_fftMag_mfcc[8];pcm_fftMag_mfcc[9];pcm_fftMag_mfcc[10];pcm_fftMag_mfcc[11];pcm_fftMag_mfcc[12];pcm_LOGenergy;pcm_fftMag_mfcc_de[1];pcm_fftMag_mfcc_de[2];pcm_fftMag_mfcc_de[3];pcm_fftMag_mfcc_de[4];pcm_fftMag_mfcc_de[5];pcm_fftMag_mfcc_de[6];pcm_fftMag_mfcc_de[7];pcm_fftMag_mfcc_de[8];pcm_fftMag_mfcc_de[9];pcm_fftMag_mfcc_de[10];pcm_fftMag_mfcc_de[11];pcm_fftMag_mfcc_de[12];pcm_LOGenergy_de;pcm_fftMag_mfcc_de_de[1];pcm_fftMag_mfcc_de_de[2];pcm_fftMag_mfcc_de_de[3];pcm_fftMag_mfcc_de_de[4];pcm_fftMag_mfcc_de_de[5];pcm_fftMag_mfcc_de_de[6];pcm_fftMag_mfcc_de_de[7];pcm_fftMag_mfcc_de_de[8];pcm_fftMag_mfcc_de_de[9];pcm_fftMag_mfcc_de_de[10];pcm_fftMag_mfcc_de_de[11];pcm_fftMag_mfcc_de_de[12];pcm_LOGenergy_de_de
29;0.289834;7.874722e+000;-1.194308e+001;-5.515842e-001;1.114543e+001;-5.655908e+001;-1.322453e+001;3.171659e+000;-1.864992e+001;2.056619e+001;9.142282e+000;3.082655e+001;3.472351e+000;-4.767986e+000;-8.944224e-001;2.369137e+000;4.420582e+000;-6.590340e-001;-1.269916e+000;-2.080746e+000;-2.850655e+000;-2.902315e+000;2.593100e+000;3.131676e+000;3.427284e+000;-1.417436e+000;4.024043e-002;-1.885734e+000;1.232653e+000;6.136239e-001;-3.331773e+000;1.806978e+000;-7.540312e-001;1.207825e+000;2.159953e+000;-1.467630e+000;-1.155038e+000;-4.428620e+000;-2.418466e-001;-1.175702e-001
30;0.299828;4.833661e+000;-1.025998e+001;5.756050e+000;3.996733e+000;-5.338840e+001;-2.165938e+001;-5.268056e+000;-2.178892e+001;1.959859e+001;1.875360e+001;3.027539e+001;2.307007e+000;-4.735089e+000;-3.569390e+000;4.246211e+000;5.793428e+000;-6.029401e+000;1.884064e+000;-3.985455e+000;-2.732721e-001;9.364882e-001;1.822223e+000;2.426345e-001;-2.324796e+000;-2.558234e+000;-1.078224e-001;-1.310696e+000;1.129021e+000;-1.397263e-001;-2.118085e+000;1.353948e+000;9.650175e-001;2.579055e+000;1.991731e+000;-1.383909e+000;-2.764010e+000;-4.174364e+000;-1.673323e-001;-1.691189e-001
31;0.309822;-4.886246e-001;-3.869362e+000;1.219884e+001;-3.999750e+000;-5.099964e+001;-2.314146e+001;-6.188686e+000;-1.835275e+001;2.247280e+001;1.399996e+001;2.582398e+001;-1.641213e+000;-4.902932e+000;-4.191892e+000;5.452320e+000;3.717230e+000;-6.150157e+000;8.968613e-001;-7.110695e-001;4.802532e+000;1.053508e+000;7.081776e-001;-4.909327e+000;-7.240633e+000;-1.187813e+000;-3.418185e-001;-2.633336e-001;1.780868e-002;-1.035802e+000;-4.528291e-001;6.924028e-001;1.511781e+000;2.231416e+000;7.161545e-001;-2.061318e+000;-2.635721e+000;-2.643008e+000;-1.862405e-001;-1.703094e-001
32;0.319816;-5.947854e+000;3.283990e+000;1.416920e+001;-1.121476e+001;-5.291860e+001;-2.637011e+001;6.789142e+000;-1.333337e+001;2.679736e+001;2.707986e+000;1.235147e+001;-3.358285e+000;-5.359279e+000;-3.677344e+000;4.843646e+000;2.056240e+000;-4.626455e+000;1.391116e+000;2.472157e+000;7.150178e+000;1.495752e+000;-1.969359e+000;-7.768884e+000;-8.444482e+000;-1.530943e+000;-5.455844e-001;7.551037e-001;-1.140817e+000;-1.240402e+000;1.141915e+000;4.278541e-001;1.476317e+000;-1.420219e-001;2.155559e-002;-2.633165e+000;-7.770315e-001;-6.413188e-002;-3.976884e-001;-9.976050e-002
33;0.329811;-7.693982e+000;8.546541e+000;1.382799e+001;-1.199961e+001;-5.230968e+001;-1.442451e+001;2.115572e+001;-1.761016e+001;2.050769e+001;-7.381545e+000;3.585341e+000;3.659334e-001;-6.164983e+000;-2.157113e+000;2.159463e+000;1.110166e+000;-3.624652e+000;2.438572e+000;2.249353e+000;4.594702e+000;3.988253e-001;-5.817699e+000;-6.041172e+000;-6.727911e+000;-2.862284e+000;-5.924255e-001;1.096195e+000;-1.655523e+000;-9.666993e-001;1.725690e+000;3.968194e-001;-2.376981e-002;-2.568983e+000;5.421184e-002;-1.949838e+000;7.822407e-001;2.063460e+000;-8.203212e-001;1.775116e-002
34;0.339805;-9.950381e+000;7.750298e+000;1.522267e+001;-1.513562e+001;-4.577780e+001;-1.365707e+001;1.681063e+001;-1.468146e+001;1.073435e+001;-9.400076e+000;-8.276949e-001;-6.351279e+000;-6.831986e+000;-8.112606e-001;1.885543e-001;8.949493e-001;-1.582579e+000;3.252479e+000;1.915918e+000;-8.794668e-001;1.371608e+000;-8.080662e+000;-3.076600e+000;-2.901817e+000;-3.709441e+000;-4.813214e-001;1.025736e+000;-1.088495e+000;-1.177857e+000;1.927314e+000;4.640192e-002;-8.835691e-001;-3.030534e+000;-5.586296e-001;-1.458762e-001;1.015858e+000;2.359683e+000;-2.063714e-001;1.028178e-001
35;0.349799;-9.272927e+000;4.694800e+000;1.722293e+001;-2.016258e+001;-4.237717e+001;-1.825122e+001;1.177408e+001;-1.568458e+001;1.415811e+000;-1.015187e+001;-1.225992e+000;-1.445614e+001;-7.128706e+000;-1.439608e-001;-4.977489e-001;-5.356210e-001;9.563524e-001;1.950277e+000;-5.517994e-001;-4.027560e+000;1.386640e+000;-5.985363e+000;-3.344265e+000;3.053336e-001;-4.200170e+000;-2.851942e-001;7.669817e-001;4.518032e-006;-1.408513e+000;2.051989e+000;2.603254e-001;-6.901206e-001;-1.767197e+000;-1.256924e+000;2.133352e+000;4.828687e-001;1.006252e+000;8.777063e-001;1.069666e-001
36;0.359794;-9.214684e+000;6.152632e+000;1.694647e+001;-1.504617e+001;-4.162245e+001;-1.487716e+001;7.082630e+000;-7.438121e+000;-4.060001e+000;-1.128985e+001;2.480521e-001;-1.449446e+001;-7.284025e+000;4.447595e-001;7.297744e-001;-3.010151e+000;2.719614e+000;1.867274e+000;-5.451126e-001;-3.691360e+000;-1.791303e+000;-2.614908e+000;-4.038045e+000;-1.626894e-001;-1.893857e+000;-1.851111e-001;5.617242e-001;5.530018e-001;-1.142732e+000;1.377818e+000;1.249092e+000;-9.442345e-001;-4.408847e-001;-1.586647e+000;2.855255e+000;3.172005e-001;-9.864559e-001;1.403294e+000;5.413701e-002
37;0.369788;-8.781634e+000;6.856629e+000;1.028799e+001;-7.262570e+000;-4.463596e+001;-1.657346e+001;5.881921e+000;-1.429863e+001;-2.021946e+000;-2.315798e+001;4.574136e+000;-1.656333e+001;-7.364935e+000;1.049785e+000;1.888876e+000;-3.979848e+000;4.484199e+000;4.432802e+000;2.926559e-002;-2.835335e+000;-4.304339e+000;2.116184e+000;-3.146106e+000;-3.066215e+000;6.184553e-001;-2.056978e-001;4.488891e-001;3.203660e-001;-1.332058e-001;2.961358e-001;2.108603e+000;-1.172135e+000;-8.689928e-003;-7.187250e-001;1.844660e+000;1.144708e+000;-1.999558e+000;1.084029e+000;-3.461212e-004
38;0.379782;-7.972230e+000;1.031825e+001;3.639391e+000;-7.987554e+000;-3.531204e+001;-1.722152e+001;1.299909e+000;-2.433096e+001;-6.213155e-001;-2.308724e+001;-4.541206e+000;-1.476697e+001;-7.639427e+000;1.400488e+000;1.760251e+000;-3.096599e+000;3.542586e+000;8.256675e+000;-3.095787e+000;-3.680003e+000;-3.716138e+000;2.144839e+000;-1.589678e+000;-6.148322e+000;8.977191e-001;-2.503846e-001;2.109680e-001;-5.235789e-001;7.294019e-001;-6.531463e-001;1.380470e+000;-1.567546e+000;-7.456701e-002;9.881293e-001;5.816683e-001;1.998360e+000;-1.078399e+000;1.589876e-002;2.657572e-002
